answer,benchmark_type,confidence_score,evaluation_status,failure_reason,generated_tokens,invalid_output,is_correct,latency_ms,model_name,model_source,parameter_size,prediction,prompt_tokens,question_id,raw_generation,sampling_seed,subset_sampling_method,workflow,blockchain_logging_latency_ms,confirmation_latency_ms,end_to_end_latency_ms,audit_hash_present,review_flag,failure_type
B,real,0.55,completed,,8,0,1,1633.110586553812,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,237,test-00004," B

Explanation: This patient presents with",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,1633.110586553812,0,0,none
D,real,0.55,completed,,8,0,1,455.5712826550007,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,172,test-00005," D

This scenario describes a patient presenting",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,455.5712826550007,0,0,none
A,real,0.55,completed,,8,0,1,461.37660369277,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,A,149,test-00009," A

This question tests your knowledge of",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,461.37660369277,0,0,none
D,real,0.55,completed,,8,0,1,427.61828750371933,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,196,test-00013," D

Explanation: When standing up from",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,427.61828750371933,0,0,none
D,real,0.55,completed,,8,0,1,419.5125699043274,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,249,test-00017," D

The correct method used to control",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,419.5125699043274,0,0,none
C,real,0.55,completed,,8,0,0,419.38527673482895,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,161,test-00031," D

This question tests the understanding of",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,419.38527673482895,0,0,wrong_answer
D,real,0.55,completed,,8,0,0,424.68561232089996,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,A,330,test-00038," A
To determine the therapeutic index (",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,424.68561232089996,0,0,wrong_answer
C,real,0.55,completed,,8,0,1,417.92580857872963,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,324,test-00040," C

The correct answer is C.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,417.92580857872963,0,0,none
A,real,0.55,completed,,8,0,0,423.68098720908165,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,287,test-00047," C

The correct answer is C.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,423.68098720908165,0,0,wrong_answer
C,real,0.55,completed,,8,0,1,430.28518185019493,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,236,test-00049," C

The correct answer is C.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,430.28518185019493,0,0,none
C,real,0.55,completed,,8,0,1,417.5158180296421,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,207,test-00060," C

This scenario describes a patient presenting",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,417.5158180296421,0,0,none
A,real,0.55,completed,,8,0,0,416.47884249687195,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,351,test-00063," C

The correct answer is C.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,416.47884249687195,0,0,wrong_answer
A,real,0.55,completed,,8,0,0,417.2748439013958,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,265,test-00069," D

This patient presents with features consistent",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,417.2748439013958,0,0,wrong_answer
A,real,0.55,completed,,8,0,0,413.6786013841629,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,172,test-00075," D

This case describes a child with",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,413.6786013841629,0,0,wrong_answer
B,real,0.55,completed,,8,0,0,414.74905610084534,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,258,test-00106," D

The correct answer is D.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,414.74905610084534,0,0,wrong_answer
C,real,0.55,completed,,8,0,0,416.45558178424835,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,444,test-00110," D

The patient's symptoms suggest a",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,416.45558178424835,0,0,wrong_answer
C,real,0.55,completed,,8,0,0,415.48655927181244,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,A,243,test-00113," A

Explanation: The patient presents with",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,415.48655927181244,0,0,wrong_answer
C,real,0.55,completed,,8,0,0,412.9863791167736,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,215,test-00116," B

This case presents a complex scenario",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,412.9863791167736,0,0,wrong_answer
C,real,0.55,completed,,8,0,1,432.8845590353012,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,212,test-00127," C

This question tests your knowledge on",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,432.8845590353012,0,0,none
A,real,0.55,completed,,8,0,0,429.90658432245255,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,343,test-00128," B

This patient presents with symptoms suggestive",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,429.90658432245255,0,0,wrong_answer
B,real,0.55,completed,,8,0,0,435.2700188755989,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,332,test-00130," D

The correct answer is D.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,435.2700188755989,0,0,wrong_answer
B,real,0.55,completed,,8,0,0,426.765862852335,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,A,164,test-00143," A

Explanation: Moderate differentiation is associated",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,426.765862852335,0,0,wrong_answer
B,real,0.55,completed,,8,0,1,429.203350096941,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,289,test-00156," B

This scenario describes a patient presenting",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,429.203350096941,0,0,none
B,real,0.55,completed,,8,0,1,434.81358885765076,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,376,test-00159," B

The correct answer is B,",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,434.81358885765076,0,0,none
C,real,0.55,completed,,8,0,1,445.0872987508774,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,266,test-00160," C

Explanation: Sickle cell disease",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,445.0872987508774,0,0,none
C,real,0.55,completed,,8,0,1,437.73212656378746,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,245,test-00177," C

This case describes a patient with",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,437.73212656378746,0,0,none
D,real,0.55,completed,,8,0,0,445.58072462677956,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,214,test-00178," C

This question tests your knowledge on",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,445.58072462677956,0,0,wrong_answer
C,real,0.55,completed,,8,0,0,435.8319714665413,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,A,255,test-00179," A

This scenario describes typical presentation of",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,435.8319714665413,0,0,wrong_answer
D,real,0.55,completed,,8,0,0,457.7346704900265,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,159,test-00181," B

This scenario describes a viral infection",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,457.7346704900265,0,0,wrong_answer
C,real,0.55,completed,,8,0,0,433.6078502237797,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,200,test-00215," D

The correct answer is D.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,433.6078502237797,0,0,wrong_answer
A,real,0.55,completed,,8,0,0,426.09845101833344,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,286,test-00219," C

This case presents a scenario where",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,426.09845101833344,0,0,wrong_answer
B,real,0.55,completed,,8,0,0,430.54307252168655,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,A,193,test-00224," A

The correct answer is A.

",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,430.54307252168655,0,0,wrong_answer
D,real,0.55,completed,,8,0,1,448.67704436182976,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,385,test-00229," D

This patient's condition suggests that",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,448.67704436182976,0,0,none
B,real,0.55,completed,,8,0,0,421.66711390018463,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,317,test-00237," C

The correct answer is C.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,421.66711390018463,0,0,wrong_answer
D,real,0.55,completed,,8,0,0,425.40210485458374,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,A,295,test-00240," A

The correct answer is A -",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,425.40210485458374,0,0,wrong_answer
A,real,0.55,completed,,8,0,0,418.49882900714874,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,208,test-00243," B

The correct answer is B.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,418.49882900714874,0,0,wrong_answer
C,real,0.55,completed,,8,0,0,415.96079245209694,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,357,test-00260," D

This patient presents with acute onset",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,415.96079245209694,0,0,wrong_answer
D,real,0.55,completed,,8,0,0,416.1143861711025,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,100,test-00267," C

Explanation: Inherited hemophilia",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,416.1143861711025,0,0,wrong_answer
B,real,0.55,completed,,8,0,1,416.2633679807186,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,311,test-00280," B

The correct answer is B.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,416.2633679807186,0,0,none
C,real,0.55,completed,,8,0,1,415.8768653869629,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,148,test-00281," C

Explanation: The patient's presentation",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,415.8768653869629,0,0,none
C,real,0.55,completed,,8,0,0,421.6219112277031,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,263,test-00285," D

The correct answer is D.

",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,421.6219112277031,0,0,wrong_answer
B,real,0.55,completed,,8,0,0,429.5501820743084,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,219,test-00288," C

This scenario describes a patient who",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,429.5501820743084,0,0,wrong_answer
D,real,0.55,completed,,8,0,0,436.3087937235832,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,181,test-00300," B

This scenario describes a condition known",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,436.3087937235832,0,0,wrong_answer
C,real,0.55,completed,,8,0,0,454.72488924860954,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,173,test-00301," D

The correct answer is D.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,454.72488924860954,0,0,wrong_answer
C,real,0.55,completed,,8,0,0,568.2571157813072,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,547,test-00303," D

The correct answer is D.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,568.2571157813072,0,0,wrong_answer
B,real,0.55,completed,,8,0,1,417.17539727687836,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,181,test-00305," B

Explanation: This scenario describes a",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,417.17539727687836,0,0,none
D,real,0.55,completed,,8,0,1,416.52820259332657,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,313,test-00309," D

Explanation: In cases where life",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,416.52820259332657,0,0,none
B,real,0.55,completed,,8,0,1,423.2206791639328,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,208,test-00325," B

This patient presents with flank pain",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,423.2206791639328,0,0,none
B,real,0.55,completed,,8,0,1,414.52760621905327,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,292,test-00331," B

The correct answer is B.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,414.52760621905327,0,0,none
B,real,0.55,completed,,8,0,1,421.1958050727844,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,145,test-00346," B

Explanation: The scenario describes an",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,421.1958050727844,0,0,none
C,real,0.55,completed,,8,0,0,416.51801019907,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,198,test-00365," D

The correct answer is D.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,416.51801019907,0,0,wrong_answer
D,real,0.55,completed,,8,0,1,418.0157594382763,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,448,test-00374," D

Valley fever is caused by",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,418.0157594382763,0,0,none
C,real,0.55,completed,,8,0,1,431.9653771817684,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,309,test-00379," C

This scenario describes a patient presenting",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,431.9653771817684,0,0,none
C,real,0.55,completed,,8,0,1,420.10919004678726,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,193,test-00382," C

Explanation: This scenario describes a",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,420.10919004678726,0,0,none
B,real,0.55,completed,,8,0,0,423.01491647958755,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,A,182,test-00406," A

Explanation: This scenario describes a",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,423.01491647958755,0,0,wrong_answer
D,real,0.55,completed,,8,0,0,448.5171437263489,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,A,447,test-00423," A

Explanation: This patient's presentation",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,448.5171437263489,0,0,wrong_answer
C,real,0.55,completed,,8,0,0,428.9967268705368,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,170,test-00424," B

Barrett's esophagus",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,428.9967268705368,0,0,wrong_answer
A,real,0.55,completed,,8,0,1,414.836335927248,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,A,255,test-00430," A

Explanation: The patient's presentation",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,414.836335927248,0,0,none
B,real,0.55,completed,,8,0,0,418.0869869887829,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,267,test-00431," D

The correct answer is D.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,418.0869869887829,0,0,wrong_answer
D,real,0.55,completed,,8,0,1,417.8340956568718,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,179,test-00451," D

Explanation: The correct answer is",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,417.8340956568718,0,0,none
B,real,0.55,completed,,8,0,0,423.915047198534,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,252,test-00452," D

The correct answer is D.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,423.915047198534,0,0,wrong_answer
B,real,0.55,completed,,8,0,1,420.749943703413,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,315,test-00457," B

This scenario describes a patient presenting",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,420.749943703413,0,0,none
D,real,0.55,completed,,8,0,1,418.2003028690815,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,185,test-00467," D

The correct answer is D.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,418.2003028690815,0,0,none
A,real,0.55,completed,,8,0,1,421.3126078248024,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,A,237,test-00468," A

The correct answer is A.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,421.3126078248024,0,0,none
A,real,0.55,completed,,8,0,0,437.4663457274437,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,301,test-00469," B

The patient presents with increasing short",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,437.4663457274437,0,0,wrong_answer
C,real,0.55,completed,,8,0,0,445.5600343644619,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,166,test-00472," B

Explanation: The correct statement about",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,445.5600343644619,0,0,wrong_answer
C,real,0.55,completed,,8,0,1,451.6875185072422,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,215,test-00476," C

The correct answer is C.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,451.6875185072422,0,0,none
D,real,0.55,completed,,8,0,1,435.4292117059231,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,224,test-00485," D

Explanation: The patient's symptoms",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,435.4292117059231,0,0,none
C,real,0.55,completed,,8,0,1,424.0199960768223,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,218,test-00490," C

This question tests your knowledge of",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,424.0199960768223,0,0,none
A,real,0.55,completed,,8,0,0,417.65131056308746,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,265,test-00491," B
The correct answer is B.

",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,417.65131056308746,0,0,wrong_answer
C,real,0.55,completed,,8,0,1,423.42468723654747,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,278,test-00499," C

This patient's presentation suggests a",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,423.42468723654747,0,0,none
A,real,0.55,completed,,8,0,0,416.84069111943245,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,B,365,test-00511," B

The correct answer is B.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,416.84069111943245,0,0,wrong_answer
A,real,0.55,completed,,8,0,0,423.30531775951385,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,D,288,test-00514," D

This scenario describes a child presenting",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,423.30531775951385,0,0,wrong_answer
C,real,0.55,completed,,8,0,1,421.84410244226456,Qwen/Qwen2.5-1.5B-Instruct,local_dir,1.5B,C,360,test-00519," C

The correct answer is C.",7,seeded_sample_without_replacement_from_medqa,backbone_only,0.0,0.0,421.84410244226456,0,0,none
